Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Structural Adherence,Adaptive Fluidity,Interpersonal Influence,Execution Velocity,Psychological Resilience,Job Hopping
192,Lori Porter,"Linux, Ethical Hacking",1,PhD,AWS Certified,Cybersecurity Analyst,Reject,60465,3,43,4,2,3,4,3,Medium
193,Keith Ayers,"TensorFlow, NLP, Python",3,MBA,Deep Learning Specialization,AI Researcher,Hire,80393,10,100,3,2,5,5,4,Low
194,Nicholas Welch,"Machine Learning, SQL, Python",10,PhD,,Data Scientist,Hire,95170,6,94,2,3,2,2,1,Medium
195,Jason Carter,"Pytorch, Python, TensorFlow, NLP",9,B.Sc,AWS Certified,AI Researcher,Hire,114772,5,96,3,1,3,1,1,Low
196,Kimberly Anderson,"Pytorch, Python",7,B.Tech,,AI Researcher,Hire,42236,6,94,3,3,2,1,3,High
197,John Mendoza,"Python, Deep Learning",8,PhD,,Data Scientist,Hire,69641,10,96,2,3,3,4,4,High
198,Audrey Haynes,"C++, SQL, Java",1,PhD,Deep Learning Specialization,Software Engineer,Hire,68682,7,66,3,4,3,1,1,Low
199,Zachary Harris,"Ethical Hacking, Cybersecurity, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Reject,113725,0,51,3,3,2,3,1,Low
200,Ann Silva,"Python, TensorFlow",1,B.Sc,Deep Learning Specialization,AI Researcher,Reject,89941,4,52,2,4,3,3,4,Low
201,Ashley Elliott,"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Google ML,Cybersecurity Analyst,Hire,102247,8,98,3,3,5,3,3,Medium
202,Thomas Hill,"TensorFlow, NLP",6,PhD,Google ML,AI Researcher,Hire,87988,1,81,4,3,3,3,2,Medium
203,Danny Torres,"Ethical Hacking, Cybersecurity, Networking",8,B.Tech,,Cybersecurity Analyst,Hire,66329,0,93,4,3,4,3,2,Low
204,Tiffany Koch,"NLP, Python, TensorFlow",1,PhD,Deep Learning Specialization,AI Researcher,Hire,42249,7,66,4,4,2,4,2,Medium
205,Rachael Williams,"Java, C++",9,MBA,Google ML,Software Engineer,Hire,82341,3,100,2,3,2,2,3,Low
206,Timothy Caldwell,"NLP, Pytorch, Python, TensorFlow",10,B.Sc,,AI Researcher,Hire,43594,4,96,2,3,3,2,2,Medium
207,Jenny Weaver,"Ethical Hacking, Linux, Cybersecurity, Networking",7,MBA,,Cybersecurity Analyst,Hire,116460,10,94,4,2,4,2,3,High
208,Shawn Carson,"C++, React",2,B.Sc,AWS Certified,Software Engineer,Hire,96027,5,61,4,2,3,4,1,Low
209,Derrick Mendoza,"Cybersecurity, Ethical Hacking, Networking, Linux",1,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102390,6,68,4,2,3,4,2,Low
210,Thomas Thompson,"Python, NLP, TensorFlow",2,M.Tech,Google ML,AI Researcher,Hire,90388,4,63,5,5,3,3,2,Low
211,Cindy Crosby,"Machine Learning, Python, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,Hire,99842,4,75,4,2,2,4,3,Low
212,Denise Davenport,"Networking, Linux, Ethical Hacking",7,B.Tech,Google ML,Cybersecurity Analyst,Hire,96689,3,98,4,2,4,2,2,Low
213,Wyatt Anderson,"C++, SQL",2,MBA,Google ML,Software Engineer,Reject,94346,1,47,4,2,4,5,4,Low
214,Peter Patterson,"SQL, Java",1,B.Tech,Google ML,Software Engineer,Hire,45989,7,61,4,4,3,5,1,Low
215,Nicholas Brown,"TensorFlow, Python, NLP",3,B.Tech,,AI Researcher,Reject,41769,3,60,3,3,3,4,3,Low
216,Gloria Miller,"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,45438,3,100,4,4,3,5,4,Low
217,Tammy Phillips,"SQL, Deep Learning, Python, Machine Learning",7,B.Sc,,Data Scientist,Hire,82958,10,100,2,2,3,1,5,Low
218,William Murphy,"TensorFlow, Python, NLP, Pytorch",8,MBA,AWS Certified,AI Researcher,Hire,70446,8,100,3,3,3,2,3,Low
219,John James,"Linux, Networking, Cybersecurity, Ethical Hacking",1,B.Sc,,Cybersecurity Analyst,Hire,40222,10,78,3,2,5,2,3,Medium
220,Christina Sanchez,"Pytorch, TensorFlow, Python, NLP",10,PhD,Google ML,AI Researcher,Hire,99512,2,94,3,5,3,4,1,Medium
221,Keith Ward,"Cybersecurity, Linux",9,PhD,,Cybersecurity Analyst,Hire,77138,0,96,5,2,3,2,1,Low
222,Mark Skinner,"Python, NLP",1,M.Tech,Google ML,AI Researcher,Reject,98317,1,37,1,3,2,4,4,Low
223,James Myers,"Python, TensorFlow, Pytorch, NLP",6,B.Sc,,AI Researcher,Hire,78872,4,98,4,4,4,4,3,Medium
224,Jon Poole,"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,Hire,96786,4,96,1,3,3,4,4,High
225,John Weiss,"Linux, Ethical Hacking, Cybersecurity",4,PhD,AWS Certified,Cybersecurity Analyst,Hire,96836,1,68,3,3,2,3,2,Low
226,Sean Livingston,"Cybersecurity, Networking",1,B.Tech,Google ML,Cybersecurity Analyst,Reject,94563,6,62,4,3,4,2,4,Low
227,Jacob Long,"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Hire,106472,4,69,3,3,4,2,5,Low
228,Sarah Christensen,"Linux, Networking, Ethical Hacking",7,B.Sc,,Cybersecurity Analyst,Hire,79874,6,100,2,3,2,4,3,Low
229,Scott Young,"Python, Pytorch",3,PhD,Deep Learning Specialization,AI Researcher,Hire,43097,8,90,2,4,1,4,3,Low
230,Christopher Dominguez,"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,102929,10,95,4,5,4,3,3,Low
231,Thomas Curtis,"Python, NLP, Pytorch",1,MBA,Google ML,AI Researcher,Reject,113921,1,34,2,2,2,3,1,Medium
232,Anita Vega,"React, C++, Java, SQL",0,M.Tech,AWS Certified,Software Engineer,Hire,80517,8,72,3,2,4,1,4,Low
233,Jennifer Lane,"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,Hire,110523,4,68,3,3,1,2,2,Low
234,Tonya Ellison,"SQL, Java, C++, React",9,M.Tech,,Software Engineer,Hire,76224,5,100,2,5,4,5,4,Low
235,Robert Guerrero,"Cybersecurity, Linux, Networking",0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,49774,7,56,5,2,2,2,1,Low
236,Elizabeth Graham,"React, SQL",7,B.Tech,AWS Certified,Software Engineer,Hire,75572,0,88,4,5,4,3,2,Low
237,Nancy Brown,"Ethical Hacking, Linux, Cybersecurity, Networking",1,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,80647,8,82,1,5,3,4,4,Low
238,April Lewis,"Python, Deep Learning",5,B.Tech,,Data Scientist,Hire,67218,3,73,3,2,2,2,3,Medium
239,Tiffany Austin,"Python, TensorFlow, NLP, Pytorch",8,PhD,AWS Certified,AI Researcher,Hire,104942,5,100,2,4,3,3,4,Low
240,Sheila Gonzalez,"Deep Learning, SQL",1,M.Tech,Google ML,Data Scientist,Reject,64383,4,48,4,5,4,4,3,Medium
241,Barbara Bernard,"Linux, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,50784,0,90,2,3,3,3,1,High
242,Mario Savage,"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,AWS Certified,Data Scientist,Hire,78601,7,100,3,3,4,5,4,Low
243,Katherine Chase,"C++, SQL, React",8,B.Tech,Google ML,Software Engineer,Hire,99288,4,98,4,2,5,1,2,Low
244,Rodney Diaz,"Linux, Networking",0,B.Tech,AWS Certified,Cybersecurity Analyst,Reject,64620,6,52,4,2,1,4,4,Low
245,Michael Phelps,"NLP, Pytorch",2,B.Sc,Deep Learning Specialization,AI Researcher,Hire,113947,8,78,2,2,5,3,3,Medium
246,Christine Reyes,"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,Hire,119054,8,75,3,2,3,4,1,High
247,Daniel Alvarado,"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,Hire,63157,4,98,3,3,2,3,3,Medium
248,Ashley Moore,"Deep Learning, Machine Learning, SQL",5,B.Sc,Google ML,Data Scientist,Hire,41593,4,99,2,2,2,2,5,Low
249,Caitlin Shaw,"SQL, Java, React, C++",4,MBA,Deep Learning Specialization,Software Engineer,Hire,101488,5,93,5,3,3,3,3,Medium
250,James Gibson,"React, Java",2,MBA,AWS Certified,Software Engineer,Hire,113130,8,80,3,1,4,1,3,Low
251,Timothy Smith,"Python, NLP, TensorFlow, Pytorch",9,B.Tech,AWS Certified,AI Researcher,Hire,95912,10,100,2,3,3,4,4,Low
252,Erin Maynard,"Pytorch, NLP, TensorFlow, Python",7,M.Tech,AWS Certified,AI Researcher,Hire,51478,9,100,4,4,5,3,3,Low
253,Sherry Mcgrath,"TensorFlow, Python, Pytorch",8,PhD,,AI Researcher,Hire,75976,1,100,5,1,2,4,3,Low
254,Juan Velez,"SQL, Machine Learning",2,B.Tech,,Data Scientist,Reject,116999,2,36,4,3,3,4,2,Medium
255,Sara Collins,"React, C++, SQL, Java",7,MBA,Deep Learning Specialization,Software Engineer,Hire,90437,5,100,1,4,2,3,3,Low
256,Kathleen Foster,"NLP, Pytorch, TensorFlow",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,72164,4,100,3,2,3,3,4,Low
257,Paul Williams,"Java, C++, React",9,M.Tech,,Software Engineer,Hire,54990,1,98,4,5,4,2,2,Low
258,Jasmine Cole,"Cybersecurity, Linux",8,B.Sc,Google ML,Cybersecurity Analyst,Hire,90950,10,100,2,3,3,2,4,Medium
259,Bryan Wright,"SQL, Machine Learning, Deep Learning",0,B.Tech,Deep Learning Specialization,Data Scientist,Reject,113435,2,33,3,2,1,4,3,Medium
260,Dr. Samantha Hill MD,"TensorFlow, Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,Hire,78090,6,98,4,3,3,4,2,Low
261,Steven Hull,"Python, Pytorch",7,B.Sc,Google ML,AI Researcher,Hire,71756,2,100,2,4,3,3,4,Low
262,Eduardo Wilson,"Ethical Hacking, Linux, Networking",1,PhD,AWS Certified,Cybersecurity Analyst,Hire,59652,10,85,3,3,3,3,3,Low
263,Bryan Scott,"TensorFlow, NLP",10,B.Sc,AWS Certified,AI Researcher,Hire,86663,2,96,1,4,4,2,4,High
264,Jessica Burnett,"Python, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,Reject,77225,1,25,2,2,2,4,3,Low
265,Kim Brown,"NLP, Python, Pytorch",1,MBA,AWS Certified,AI Researcher,Reject,97459,0,35,3,3,4,4,3,Low
266,Maria Green MD,"NLP, TensorFlow",7,MBA,Google ML,AI Researcher,Hire,99118,1,95,2,2,4,5,3,Low
267,Gregory Rogers,"Networking, Ethical Hacking",0,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,74792,5,45,5,3,1,2,3,Low
268,Nathaniel Yoder,"SQL, React",10,B.Tech,Deep Learning Specialization,Software Engineer,Hire,89543,5,94,2,2,3,3,1,Medium
269,Paul Lozano,"SQL, Machine Learning, Deep Learning, Python",8,M.Tech,Google ML,Data Scientist,Hire,109019,8,98,3,2,2,3,2,Low
270,Jerry Allen,"Cybersecurity, Linux, Networking, Ethical Hacking",9,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,94447,4,100,3,4,3,4,4,Low
271,Amy Poole,"Machine Learning, SQL, Python",0,PhD,Google ML,Data Scientist,Reject,43642,7,60,4,4,3,3,3,Low
272,Laura Garcia,"Ethical Hacking, Cybersecurity",0,B.Sc,,Cybersecurity Analyst,Reject,47079,8,48,2,4,3,2,2,Low
273,Cassandra Ford,"Linux, Cybersecurity",2,PhD,AWS Certified,Cybersecurity Analyst,Reject,48427,1,37,4,2,2,4,2,High
274,Ricky Morris,"NLP, Pytorch, Python",8,MBA,,AI Researcher,Hire,75898,3,98,3,3,3,4,2,Low
275,Jon Hall,"Networking, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102962,7,79,2,4,2,2,1,Medium
276,Amber Brown,"NLP, TensorFlow",7,PhD,Deep Learning Specialization,AI Researcher,Hire,48195,0,88,3,3,2,4,3,Medium
277,Dr. Antonio Martinez,"Deep Learning, Machine Learning, Python",3,MBA,AWS Certified,Data Scientist,Reject,71310,1,58,3,5,4,4,2,Low
278,Dwayne Taylor,"React, C++, SQL, Java",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,90345,7,98,2,3,2,3,2,Low
279,Trevor Freeman,"Cybersecurity, Networking, Ethical Hacking",6,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,53165,8,100,3,3,4,3,3,Low
280,Kristen Santana,"Deep Learning, Machine Learning",0,PhD,Google ML,Data Scientist,Reject,73914,1,23,3,3,3,4,3,Medium
281,Rachael Hayes,"C++, SQL, React",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,48829,5,100,3,3,1,2,5,Low
282,Gary Gonzalez,"Python, TensorFlow, Pytorch, NLP",9,MBA,Google ML,AI Researcher,Hire,99238,1,96,4,3,2,3,1,Low
283,Mrs. Ashley Stanley,"Pytorch, Python, NLP, TensorFlow",0,M.Tech,Deep Learning Specialization,AI Researcher,Hire,67037,9,77,5,4,4,1,4,Low
284,Sonia Mendoza,"Python, TensorFlow",3,B.Sc,,AI Researcher,Reject,82959,3,55,2,4,2,4,4,Medium
285,Tara Williams,"Python, Deep Learning",7,B.Tech,,Data Scientist,Hire,104891,2,88,5,2,3,1,2,Low
286,Joanna Little,"Ethical Hacking, Cybersecurity, Networking",2,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,117219,5,70,1,2,3,5,3,Low
287,Emily Sanchez,"C++, React, SQL, Java",2,MBA,,Software Engineer,Reject,96229,1,45,3,1,4,3,3,Low
288,Rebecca Lewis,"Python, SQL, Deep Learning",10,B.Tech,,Data Scientist,Hire,92689,8,100,4,4,3,3,3,Low
289,Jonathan Andrews,"Python, Deep Learning, SQL, Machine Learning",2,M.Tech,,Data Scientist,Hire,82012,7,77,3,2,2,2,5,Medium
290,Martin Dean,"Ethical Hacking, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,61633,4,100,2,1,4,3,4,Low
291,Olivia Montgomery,"TensorFlow, Python",2,PhD,Deep Learning Specialization,AI Researcher,Hire,73596,9,85,3,3,5,4,4,Medium
292,Amanda Watson,"Cybersecurity, Networking, Linux",2,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,104195,3,58,3,5,4,1,3,Medium
293,Katelyn Hopkins,"Machine Learning, Python, SQL",6,B.Tech,,Data Scientist,Hire,50393,5,98,2,3,3,4,2,Low
294,Jeremy Shaw,"Java, C++, React, SQL",4,B.Sc,,Software Engineer,Hire,98181,8,98,4,4,2,3,3,Medium
295,Nathan Williams,"Pytorch, Python, NLP, TensorFlow",9,MBA,Deep Learning Specialization,AI Researcher,Hire,117784,3,100,3,3,2,2,4,Low
296,Jacqueline Frederick,"Deep Learning, Python, Machine Learning, SQL",2,B.Sc,,Data Scientist,Hire,84282,6,66,2,3,4,2,1,Low
297,Robert Cook,"Networking, Linux, Ethical Hacking, Cybersecurity",2,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,108144,2,56,4,4,3,5,2,Medium
298,Jerome Schmitt,"Networking, Cybersecurity, Linux, Ethical Hacking",8,MBA,Google ML,Cybersecurity Analyst,Hire,104087,4,100,3,3,4,2,3,Low
299,Scott Coleman,"SQL, Deep Learning",6,B.Tech,Google ML,Data Scientist,Hire,80534,6,96,4,3,4,2,2,Medium
300,Robin Mcgrath,"Python, Pytorch, TensorFlow",1,M.Tech,,AI Researcher,Hire,88349,10,73,4,3,1,4,2,Low
301,Kristen Maynard,"Linux, Ethical Hacking",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,71601,9,94,2,2,4,3,3,High
302,Denise Collins,"React, Java, SQL, C++",5,PhD,Deep Learning Specialization,Software Engineer,Hire,94954,10,98,2,4,2,2,2,Low
303,Amber Dalton,"NLP, Python, TensorFlow, Pytorch",2,PhD,Deep Learning Specialization,AI Researcher,Hire,72948,10,98,4,3,3,3,2,Low
304,Carlos Goodwin,"Python, NLP",8,B.Sc,Google ML,AI Researcher,Hire,89808,10,100,4,2,3,2,4,Low
305,Tina Howard,"SQL, Python, Machine Learning",6,B.Sc,AWS Certified,Data Scientist,Hire,52824,9,96,3,4,5,4,2,Medium
306,Nathaniel Terry,"React, SQL, C++",1,MBA,,Software Engineer,Hire,88441,10,69,3,2,5,4,1,Medium
307,Jessica Campbell,"Machine Learning, SQL, Python",4,B.Sc,Google ML,Data Scientist,Hire,114573,8,98,4,3,4,4,2,Low
308,Andrew Shaw,"Python, SQL",1,MBA,Deep Learning Specialization,Data Scientist,Hire,112556,7,65,2,3,3,3,4,Medium
309,Stephen Lopez,"Deep Learning, SQL",6,B.Tech,AWS Certified,Data Scientist,Hire,106433,0,80,4,4,4,5,3,Low
310,Megan Cox,"SQL, Java",3,B.Tech,,Software Engineer,Hire,63531,8,80,3,3,4,3,3,Low
311,Richard Kelly,"Cybersecurity, Ethical Hacking, Networking",0,B.Tech,,Cybersecurity Analyst,Reject,82635,7,48,3,3,3,2,3,Medium
312,Benjamin Rivera,"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Google ML,Data Scientist,Hire,99502,8,94,4,4,5,3,1,Medium
313,Laura Stewart,"Deep Learning, SQL, Python, Machine Learning",1,PhD,Deep Learning Specialization,Data Scientist,Reject,52288,1,43,4,4,3,5,3,Medium
314,Ronald Luna,"C++, SQL",5,M.Tech,Google ML,Software Engineer,Hire,106464,5,93,4,4,3,2,3,Medium
315,Robert Thompson,"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,97006,5,100,4,3,4,3,3,Low
316,Joseph Rojas,"Cybersecurity, Ethical Hacking, Linux",1,MBA,AWS Certified,Cybersecurity Analyst,Hire,78344,10,85,3,2,3,3,4,Medium
317,Richard Padilla,"Cybersecurity, Networking, Ethical Hacking, Linux",2,B.Sc,,Cybersecurity Analyst,Reject,59121,4,58,4,2,4,3,2,Low
318,Heather Savage,"Machine Learning, Python, Deep Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Hire,55376,7,82,3,3,2,2,4,Low
319,Elizabeth Chavez,"TensorFlow, Python, NLP",9,M.Tech,AWS Certified,AI Researcher,Hire,101293,0,100,3,2,2,4,3,Low
320,Scott Richardson,"SQL, Java, C++, React",0,B.Tech,AWS Certified,Software Engineer,Hire,53699,8,70,3,3,2,5,3,Low
321,Jerome Sampson,"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,Hire,114879,8,100,3,3,3,3,3,Low
322,Jennifer Padilla,"Networking, Linux, Cybersecurity, Ethical Hacking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102150,3,95,4,4,4,2,3,Low
323,Malik Burns,"Python, Deep Learning",5,B.Tech,,Data Scientist,Hire,73559,10,100,2,3,3,1,4,Low
324,Brandon Monroe,"Ethical Hacking, Linux",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,93214,2,98,5,3,5,3,2,Low
325,Heather Mcdonald,"C++, Java, SQL",3,PhD,Deep Learning Specialization,Software Engineer,Hire,98746,4,73,2,3,3,4,2,Low
326,William Bryant,"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,Hire,44012,10,100,2,1,4,3,4,Low
327,Abigail Brock,"Machine Learning, Python, Deep Learning",9,B.Tech,,Data Scientist,Hire,93707,0,98,4,2,2,3,2,Low
328,Maria Perez PhD,"Ethical Hacking, Linux, Cybersecurity",4,MBA,,Cybersecurity Analyst,Hire,52722,9,100,4,3,3,2,4,Medium
329,William Casey,"SQL, React, C++",7,B.Tech,AWS Certified,Software Engineer,Hire,65733,0,97,4,2,4,2,5,Medium
330,Bryan Clayton,"Networking, Cybersecurity, Ethical Hacking, Linux",0,PhD,AWS Certified,Cybersecurity Analyst,Reject,62201,5,53,4,4,4,4,3,Medium
331,James Murphy,"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,Hire,115275,5,100,3,5,3,4,4,Low
332,Brett Mills,"Python, Deep Learning, SQL, Machine Learning",1,B.Tech,AWS Certified,Data Scientist,Hire,61616,9,81,2,4,3,1,2,Medium
333,Kimberly Thompson,"TensorFlow, Pytorch",5,PhD,AWS Certified,AI Researcher,Hire,79405,4,92,3,3,1,5,4,Low
334,William Walker,"Linux, Cybersecurity, Networking",2,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,54759,1,50,2,4,3,4,3,Low
335,Natalie King,"Ethical Hacking, Linux",7,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,91922,0,90,4,3,4,4,3,Low
336,Sergio Scott,"Java, SQL, React, C++",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,69145,4,96,3,3,4,2,2,Medium
337,Carlos Park,"Pytorch, TensorFlow",2,MBA,AWS Certified,AI Researcher,Hire,65012,6,66,2,2,4,2,1,Low
338,Stacie Pitts,"C++, SQL",7,MBA,AWS Certified,Software Engineer,Hire,45278,8,100,3,3,3,3,4,Low
339,Jose Kirk,"Networking, Linux, Ethical Hacking, Cybersecurity",4,B.Tech,,Cybersecurity Analyst,Reject,75555,0,56,3,3,3,4,1,Low
340,John Alvarez,"SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,Reject,90362,8,58,2,3,2,5,3,Medium
341,Austin Saunders,"C++, Java",0,B.Sc,,Software Engineer,Reject,89148,8,50,2,3,4,4,4,Medium
342,Shannon Page,"Deep Learning, SQL, Python, Machine Learning",8,MBA,AWS Certified,Data Scientist,Hire,100345,0,100,3,3,3,3,3,Low
343,Dylan Keller,"Python, NLP, TensorFlow",7,B.Sc,Google ML,AI Researcher,Hire,62487,8,100,3,3,3,2,5,Low
344,Stephanie Mosley,"Cybersecurity, Networking",3,MBA,,Cybersecurity Analyst,Hire,55213,9,87,2,4,2,4,4,Low
345,Whitney Thompson,"Deep Learning, Machine Learning, SQL, Python",1,M.Tech,Deep Learning Specialization,Data Scientist,Hire,79991,10,86,3,4,1,2,2,Medium
346,Isabel Williams,"Cybersecurity, Ethical Hacking, Networking, Linux",6,MBA,Google ML,Cybersecurity Analyst,Hire,89696,10,100,3,2,4,5,3,Low
347,Jessica Ruiz,"Ethical Hacking, Cybersecurity, Linux, Networking",0,MBA,Google ML,Cybersecurity Analyst,Hire,102527,7,63,2,1,3,3,3,Medium
348,Jamie Arnold,"SQL, Java, React",3,B.Sc,,Software Engineer,Hire,96280,9,86,2,4,2,5,1,Low
349,Ashley Gardner,"Machine Learning, Python",1,MBA,AWS Certified,Data Scientist,Reject,108606,3,41,2,2,4,4,2,Medium
350,Shannon Young,"Ethical Hacking, Linux",2,M.Tech,,Cybersecurity Analyst,Hire,115687,7,63,3,3,3,3,2,Low
351,George Hansen,"Networking, Ethical Hacking",1,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,65217,6,56,3,2,4,2,1,Low
352,Tanya Lloyd,"React, C++, SQL, Java",0,M.Tech,,Software Engineer,Reject,94099,0,20,4,1,4,3,3,Low
353,Morgan Mueller,"Python, Deep Learning, SQL, Machine Learning",9,PhD,,Data Scientist,Hire,45043,5,100,4,4,4,3,3,Low
354,Anthony Wheeler,"Python, Machine Learning, Deep Learning",0,B.Tech,Google ML,Data Scientist,Reject,116661,3,36,3,4,2,3,1,Low
355,Isabella Long,"Pytorch, TensorFlow",8,B.Sc,Deep Learning Specialization,AI Researcher,Hire,73142,9,98,3,2,4,2,3,Medium
356,Vincent Daniel,"Python, Pytorch, TensorFlow, NLP",7,B.Sc,Google ML,AI Researcher,Hire,75507,7,100,2,1,3,3,4,Low
357,Mrs. Debbie Jackson,"Python, NLP",0,PhD,Deep Learning Specialization,AI Researcher,Hire,81970,10,68,3,2,3,3,3,Medium
358,Mr. Juan Barron DDS,"SQL, C++, React, Java",4,MBA,Google ML,Software Engineer,Hire,59448,9,98,3,3,3,1,3,Medium
359,Debra Franco,"SQL, Deep Learning, Machine Learning",6,M.Tech,,Data Scientist,Hire,58016,2,87,3,2,1,3,4,Low
360,Nicole Randolph,"Networking, Ethical Hacking",0,B.Tech,,Cybersecurity Analyst,Reject,97659,4,30,2,3,3,2,4,Medium
361,James Cline,"Linux, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,76342,4,58,4,3,2,2,3,Medium
362,April West,"Networking, Linux, Cybersecurity, Ethical Hacking",7,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,103102,2,98,5,4,2,1,2,Low
363,Stephanie Edwards,"SQL, Java",3,B.Sc,,Software Engineer,Hire,41272,6,68,3,3,1,1,3,Medium
364,Paula Harrison,"TensorFlow, Python, NLP, Pytorch",1,B.Sc,AWS Certified,AI Researcher,Reject,40186,1,47,3,2,4,2,4,Low
365,Breanna Moore,"React, Java, SQL",4,M.Tech,Deep Learning Specialization,Software Engineer,Hire,82848,5,88,4,4,2,2,2,Low
366,Tristan Burgess PhD,"TensorFlow, Pytorch",5,M.Tech,Deep Learning Specialization,AI Researcher,Hire,82093,9,100,3,3,5,5,5,Medium
367,Christina Perez,"Linux, Cybersecurity, Ethical Hacking",2,B.Sc,,Cybersecurity Analyst,Reject,60533,2,43,3,3,2,2,2,Low
368,Mike Miller,"Python, NLP",5,B.Tech,,AI Researcher,Hire,55494,8,100,3,2,1,3,3,Low
369,Shelly Mann,"Deep Learning, Python",6,MBA,Deep Learning Specialization,Data Scientist,Hire,53984,7,98,3,3,2,3,2,Low
370,Jose Young,"Linux, Networking, Ethical Hacking",10,B.Tech,,Cybersecurity Analyst,Hire,91447,5,98,2,2,4,3,3,Medium
371,Timothy Johnson,"Java, C++, React",7,PhD,,Software Engineer,Hire,100195,6,90,3,3,3,3,1,High
372,Donald Lawson,"React, Java, SQL",3,B.Sc,,Software Engineer,Reject,118891,0,43,3,5,2,2,2,Low
373,Crystal Parker,"NLP, Pytorch, Python",4,PhD,Google ML,AI Researcher,Hire,45733,9,96,4,2,3,4,2,Medium
374,Amanda Thomas,"Java, SQL, C++, React",10,M.Tech,Google ML,Software Engineer,Hire,51113,0,94,4,1,4,5,3,High
375,Thomas Lee,"Cybersecurity, Linux, Ethical Hacking",3,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,75300,5,82,5,4,4,1,4,Low
376,Jennifer Love,"Ethical Hacking, Networking, Linux",1,M.Tech,Google ML,Cybersecurity Analyst,Reject,57375,2,47,2,3,4,2,4,Low
377,Breanna Barrett,"C++, React",8,B.Sc,Deep Learning Specialization,Software Engineer,Hire,71077,7,94,4,2,3,3,1,Medium
378,Jacob White,"Python, Machine Learning, Deep Learning",0,B.Sc,Deep Learning Specialization,Data Scientist,Hire,97987,10,77,3,4,2,2,5,Medium
379,Zachary Lynch,"SQL, Python",8,B.Sc,Deep Learning Specialization,Data Scientist,Hire,118157,10,98,5,2,3,4,3,Medium
380,Mr. Keith Smith,"SQL, Python, Deep Learning, Machine Learning",2,B.Tech,Google ML,Data Scientist,Hire,69741,10,98,2,5,3,2,2,Low
381,James Allen,"Pytorch, NLP, Python, TensorFlow",10,M.Tech,AWS Certified,AI Researcher,Hire,77860,1,100,2,4,2,5,3,Low
382,Diana Lewis,"NLP, TensorFlow, Pytorch",3,M.Tech,AWS Certified,AI Researcher,Hire,112201,6,85,2,3,2,4,3,Low
383,David Wilkerson,"Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,Hire,80736,2,98,1,5,3,3,2,Low
